,Image,F1,Jaccard,Recall,Precision
209,331.png,0.9746886299718762,0.950626959247649,0.984577922077922,0.9649960222752586
210,619.png,0.7717782577393808,0.6283704572098476,0.6350710900473934,0.9834862385321101
211,1758.png,0.9236641221374046,0.8581560283687943,1.0,0.8581560283687943
212,1697.png,0.9142053445850914,0.8419689119170984,0.9938837920489296,0.8463541666666666
213,2784.png,0.8115732368896926,0.6828971393791844,0.9234567901234568,0.7238709677419355
214,948.png,0.9134001823154057,0.8406040268456376,0.8623063683304647,0.9709302325581395
215,1980.png,0.08884859474161379,0.046489563567362426,0.08999081726354453,0.08773500447627573
216,555.png,0.9368318756073858,0.8811700182815356,0.9897330595482546,0.8892988929889298
217,806.png,0.7015810276679841,0.5403348554033486,0.922077922077922,0.5661881977671451
218,852.png,0.8916562889165629,0.8044943820224719,1.0,0.8044943820224719
219,1921.png,0.0,0.0,0.0,0.0
220,2509.png,0.9416698436904308,0.8897694524495677,0.9299698795180723,0.9536679536679536
221,151.png,0.9548872180451128,0.9136690647482014,0.9505988023952096,0.959214501510574
222,86.png,0.8720112517580872,0.773067331670823,0.9422492401215805,0.8115183246073299
223,448.png,0.760806916426513,0.6139534883720931,0.6139534883720931,1.0
224,2302.png,0.3333333333333333,0.2,0.33687002652519893,0.32987012987012987
225,3051.png,0.9119567664940329,0.8381622516556292,0.8846657929226737,0.9409851301115242
226,1825.png,0.9570844686648501,0.9177008491182234,0.9971611071682044,0.9201047806155861
227,2019.png,0.9481937832539905,0.9014909478168264,0.9201086956521739,0.9780473714615829
228,1193.png,0.8792007266121707,0.7844408427876823,0.9490196078431372,0.8189509306260575
229,1523.png,0.8456260720411664,0.7325408618127786,0.85,0.841296928327645
230,1827.png,0.942998352553542,0.89214463840399,0.9232258064516129,0.9636363636363636
231,2411.png,0.8554016620498615,0.7473378509196515,0.7473378509196515,1.0
232,1144.png,0.8982035928143712,0.8152173913043478,0.8992805755395683,0.8971291866028708
233,1856.png,0.5169951442445015,0.348613251155624,0.43551491819056787,0.6359803232607167
234,1335.png,0.9602327837051406,0.9235074626865671,0.9464627151051626,0.9744094488188977
235,495.png,0.9117647058823529,0.8378378378378378,0.96875,0.8611111111111112
236,1888.png,0.007009345794392523,0.0035169988276670576,0.009708737864077669,0.005484460694698354
237,1645.png,0.9290617848970252,0.8675213675213675,0.9463869463869464,0.9123595505617977
238,52.png,0.9669691470054447,0.9360505973295854,0.9888641425389755,0.9460227272727273
239,1381.png,0.8146453089244852,0.6872586872586872,0.9621621621621622,0.7063492063492064
